,time,lon,lat,elev,atemp,hr,cad,c_delta_elev,c_delta_time,c_delta_sph2d,c_delta_sph3d,c_dist_sph2d,c_dist_sph3d,c_delta_geo2d,c_delta_geo3d,c_dist_geo2d,c_dist_geo3d,c_speed,c_speed_filtered
1,2022-11-01 08:14:01+00:00,10.516378,44.223268,1216.6,24.0,103.0,0.0,-0.20000000000004547,1.0,4.518620502848065,4.5230444668120295,4.518620502848065,4.5230444668120295,4.515918105751811,4.520344714494354,4.515918105751811,4.520344714494354,4.520344714494354,
2,2022-11-01 08:14:05+00:00,10.516466,44.223079,1216.2,24.0,104.0,0.0,-0.3999999999998636,4.0,22.154900283704457,22.158510928780565,26.673520786552523,26.681555395592596,22.146951395387216,22.15056333616921,26.662869501139028,26.670908050663563,5.5376408340423025,
3,2022-11-01 08:14:08+00:00,10.516531,44.222923,1216.4,24.0,108.0,0.0,0.20000000000004547,3.0,18.1032252193149,18.10432996112364,44.77674600586742,44.785885356716236,18.0955808051551,18.096686013629615,44.75845030629413,44.76759406429318,6.032228671209872,
4,2022-11-01 08:14:10+00:00,10.516562,44.22282,1216.6,24.0,112.0,0.0,0.1999999999998181,2.0,11.716465556695393,11.718172431792828,56.49321156256282,56.504057788509066,11.709999582580549,11.711707400035085,56.46844988887468,56.47930146432826,5.855853700017542,
5,2022-11-01 08:14:11+00:00,10.516583,44.22277,1216.8,24.0,112.0,0.0,0.20000000000004547,1.0,5.806131274532603,5.809574887812843,62.29934283709542,62.31363267632191,5.803703592224703,5.807148645109916,62.27215348109938,62.28645010943818,5.807148645109916,
6,2022-11-01 08:14:15+00:00,10.516704,44.222587,1217.8,24.0,115.0,0.0,1.0,4.0,22.51751441641246,22.539708416333674,84.81685725350789,84.85334109265558,22.51591950449006,22.53811507497191,84.78807298558944,84.82456518441009,5.634528768742977,
7,2022-11-01 08:14:16+00:00,10.516738,44.222544,1218.0,24.0,116.0,0.0,0.20000000000004547,1.0,5.495651621782042,5.499289658491868,90.31250887528994,90.35263075114744,5.496397965366548,5.500035508402245,90.28447095095598,90.32460069281234,5.500035508402245,
8,2022-11-01 08:14:17+00:00,10.516769,44.222498,1218.2,24.0,117.0,0.0,0.20000000000004547,1.0,5.680250147642932,5.683770028757107,95.99275902293287,96.03640077990455,5.679961203471565,5.683481263534013,95.96443215442754,96.00808195634636,5.683481263534013,
9,2022-11-01 08:14:19+00:00,10.516805,44.222389,1218.6,24.0,119.0,0.0,0.3999999999998636,2.0,12.455132896461276,12.461554295853777,108.44789191939415,108.49795507575833,12.448629290162863,12.455054042592534,108.4130614445904,108.4631359989389,6.227527021296267,
10,2022-11-01 08:14:23+00:00,10.516757,44.222175,1218.8,24.0,122.0,0.0,0.20000000000004547,4.0,24.101202875103596,24.102032694918115,132.54909479449776,132.59998777067645,24.08629116198368,24.08712149551816,132.49935260657406,132.55025749445707,6.02178037387954,
11,2022-11-01 08:14:24+00:00,10.516731,44.222121,1218.8,24.0,123.0,0.0,0.0,1.0,6.3519322227173705,6.3519322227173705,138.90102701721514,138.95191999339383,6.349788812079013,6.349788812079013,138.8491414186531,138.9000463065361,6.349788812079013,6.436510384033416
12,2022-11-01 08:14:27+00:00,10.516621,44.221959,1219.2,23.0,125.0,0.0,0.40000000000009095,3.0,20.03310612214267,20.037099113919414,158.9341331393578,158.98901910731325,20.032246901264944,20.036240064274512,158.88138831991805,158.93628637081062,6.678746688091504,6.479044492338521
13,2022-11-01 08:14:29+00:00,10.516544,44.221847,1220.6,23.0,126.0,0.0,1.3999999999998636,2.0,13.883367712406445,13.95377723191428,172.81750085176427,172.94279633922753,13.882958297721654,13.953369883160057,172.7643466176397,172.88965625397068,6.976684941580029,6.487582239975021
14,2022-11-01 08:14:31+00:00,10.516451,44.221728,1221.2,23.0,129.0,0.0,0.6000000000001364,2.0,15.166193970525379,15.178057832002107,187.98369482228964,188.12085417122964,15.168027778187835,15.179890206450043,187.93237439582754,188.06954646042072,7.589945103225022,6.498400676091684
15,2022-11-01 08:14:34+00:00,10.516321,44.221539,1221.4,23.0,131.0,0.0,0.20000000000004547,3.0,23.4304055792114,23.43125915537491,211.41410040150103,211.55211332660454,23.429726046417795,23.43057964733669,211.36210044224532,211.5001261077574,7.810193215778896,6.531065362739739
16,2022-11-01 08:14:36+00:00,10.516274,44.221397,1221.0,23.0,133.0,0.0,-0.40000000000009095,2.0,16.227821368449494,16.232750425183838,227.64192176995053,227.78486375178838,16.219357381298376,16.224289009453642,227.5814578235437,227.72441511721104,8.112144504726821,6.5850512984864125
17,2022-11-01 08:14:40+00:00,10.516233,44.22113,1221.0,23.0,136.0,0.0,0.0,4.0,29.868320992318278,29.868320992318278,257.51024276226883,257.6531847441067,29.848467633323438,29.848467633323438,257.4299254568671,257.57288275053446,7.462116908330859,6.509799186135043
18,2022-11-01 08:14:42+00:00,10.516148,44.221016,1221.6,23.0,138.0,0.0,0.599999999999909,2.0,14.372458433676396,14.384976935252823,271.88270119594523,272.0381616793595,14.373365358819784,14.38588307119589,271.8032908156869,271.95876582173037,7.192941535597945,6.482153825109856
19,2022-11-01 08:14:43+00:00,10.516095,44.220963,1221.8,23.0,138.0,0.0,0.20000000000004547,1.0,7.250471400762514,7.253229317571253,279.13317259670777,279.2913909969308,7.25387059495187,7.256627219880281,279.0571614106388,279.21539304161064,7.256627219880281,6.442384102906525
